FileName,Model,Features,FS,ACC,F1,Recall,Precision,Validation_acc,Validation_F1,Validation_Recall,Validation_Precision,Validation_AUC,AUC
pseaac_VT_RFE_SFS_RF_selected_features.csv,SVM,Pseudo AminoAcidComposition,Boruta & Random Forest & Variance Threshold & Recursive Feature Elimination,60.690348525469176,54.70484205313399,60.690348525469176,72.81503458233368,59.41689008042895,52.90124394058928,59.41689008042895,71.67285004183026,N/A,N/A
pseaac_VT_RFE_SFS_RF_selected_features.csv,RandomForest,Pseudo AminoAcidComposition,Boruta & Random Forest & Variance Threshold & Recursive Feature Elimination,93.73324396782841,93.73293639767108,93.73324396782841,93.74376828251985,93.76675603217159,93.76677563301297,93.76675603217159,93.77092327872315,97.73542228212041,97.99908807489466
pseaac_VT_RFE_SFS_RF_selected_features.csv,KNN,Pseudo AminoAcidComposition,Boruta & Random Forest & Variance Threshold & Recursive Feature Elimination,92.89544235924933,92.88065808684205,92.89544235924933,93.26637619331396,93.02949061662198,93.02290963846926,93.02949061662198,93.22604153368229,93.04725965858042,92.90162888691229
aac_pseaac_VT_RFE_SFS_RF_selected_features.csv,SVM,Pseudo AminoAcidComposition & AminoAcidComposition,Boruta & Random Forest & Variance Threshold & Recursive Feature Elimination,94.97319034852548,94.9714216296777,94.97319034852548,95.04151146475238,95.10723860589813,95.10578764816123,95.10723860589813,95.18133123347549,N/A,N/A
aac_pseaac_VT_RFE_SFS_RF_selected_features.csv,RandomForest,Pseudo AminoAcidComposition & AminoAcidComposition,Boruta & Random Forest & Variance Threshold & Recursive Feature Elimination,94.87265415549598,94.87252689444927,94.87265415549598,94.87855868264715,95.04021447721179,95.04023007358022,95.04021447721179,95.04442977819457,98.71954177897574,98.7493598555295
aac_pseaac_VT_RFE_SFS_RF_selected_features.csv,KNN,Pseudo AminoAcidComposition & AminoAcidComposition,Boruta & Random Forest & Variance Threshold & Recursive Feature Elimination,95.84450402144772,95.8433388704828,95.84450402144772,95.90044831199019,95.71045576407506,95.70863418696287,95.71045576407506,95.81232838605494,95.72291105121293,95.84683252023756
ctd_pseaac_VT_RFE_SFS_RF_selected_features.csv,SVM,"Pseudo AminoAcidComposition & Composition, Transition, and Distribution.",Boruta & Random Forest & Variance Threshold & Recursive Feature Elimination,90.98525469168901,90.97986056212065,90.98525469168901,91.08967699756386,91.42091152815014,91.41795094604574,91.42091152815014,91.49921030657072,N/A,N/A
ctd_pseaac_VT_RFE_SFS_RF_selected_features.csv,RandomForest,"Pseudo AminoAcidComposition & Composition, Transition, and Distribution.",Boruta & Random Forest & Variance Threshold & Recursive Feature Elimination,93.90080428954424,93.90067277049926,93.90080428954424,93.90357863875121,94.70509383378017,94.70484405598965,94.70509383378017,94.7087644135395,98.29991015274034,98.2118181899859
ctd_pseaac_VT_RFE_SFS_RF_selected_features.csv,KNN,"Pseudo AminoAcidComposition & Composition, Transition, and Distribution.",Boruta & Random Forest & Variance Threshold & Recursive Feature Elimination,91.18632707774799,91.16186679409446,91.18632707774799,91.66058308256389,92.32573726541555,92.30813212248452,92.32573726541555,92.76749144498547,92.35265049415993,91.19345390510588
aac_VT_RFE_SFS_RF_selected_features.csv,SVM,AminoAcidComposition,Boruta & Random Forest & Variance Threshold & Recursive Feature Elimination,94.97319034852548,94.9714216296777,94.97319034852548,95.04151146475238,95.10723860589813,95.10578764816123,95.10723860589813,95.18133123347549,N/A,N/A
